variable,Stargazer_Output
family_connection_ratio,-0.077** (0.024)
epu_index,0.029 (0.024)
stake_fragmentation_index,-0.128*** (0.023)
family_company_count,-0.109*** (0.024)
camel_roa,-0.061*** (0.008)
camel_npl_ratio,0.106*** (0.018)
camel_tier1_capital_ratio,0.101*** (0.021)
rw_out_degree_4q_lag,-0.045+ (0.024)
family_connection_ratio:epu_index,0.002 (0.020)
stake_fragmentation_index:epu_index,0.027 (0.021)
family_company_count:epu_index,0.010 (0.019)
Observations,138896
Subjects,1092
Events,770
Log Likelihood,-4841.60
AIC Partial,9705.19
-log2(p) LLR,116.83
C-index,0.746
